,Type,Ratio,Times,gid,k,Number of CPU Cores,Memory Constraints,Isolation Level,Lower Bound,Upper Bound
289,ICRB,0.4341,8.0,1,0,2,0.9,3,141.77279842303605,175.22581871055655
290,ICRB,0.6376,8.0,1,0,2,0.9,3,153.2561241244519,197.86427299525843
291,ICRB,0.6062,8.0,1,0,2,0.9,3,163.11601533840735,201.88835783229527
292,ICRB,0.3859,8.0,1,0,2,0.9,3,185.97736426221525,227.02952883063878
293,ICRB,0.4806,8.0,1,0,2,0.9,3,130.14569034334178,160.78490680431162
294,ICRB,0.3734,9.0,1,0,2,0.9,3,160.35641769164988,203.14823259989404
295,ICRB,0.4,4.0,1,0,2,0.9,3,123.5671172001733,155.32169617054922
296,ICRB,0.5611,8.0,1,0,2,0.9,3,136.25282730258112,164.48472290730354
297,ICRB,0.4155,7.0,1,0,2,0.9,3,160.40026719173937,193.14642750352985
298,ICRB,0.7108,8.0,1,0,2,0.9,3,136.30667210286265,169.5214867395846
299,ICRB,0.618,9.0,1,0,2,0.9,3,157.89748926921197,184.89799292077623
300,ICRB,0.4123,10.0,1,0,2,0.9,3,161.08964000728346,199.0430626917136
301,ICRB,0.5061,9.0,1,0,2,0.9,3,130.56801682026486,162.92142686708172
302,ICRB,0.4513,9.0,1,0,2,0.9,3,154.6218695635586,184.25485853881273
303,ICRB,0.5203,6.0,1,0,2,0.9,3,148.4767533769147,188.38897741470072
304,ICRB,0.4986,9.0,1,0,2,0.9,3,135.4171259527963,168.68708595445403
305,ICRB,0.3513,8.0,1,0,2,0.9,3,157.87281469828451,190.26922741842768
306,ICRB,0.3201,11.0,1,0,2,0.9,3,131.13811203879322,164.52799521466204
307,ICRB,0.5868,9.0,1,0,2,0.9,3,132.75528942143436,166.47589660800497
308,ICRB,0.5945,7.0,1,0,2,0.9,3,148.2757693765874,186.6159549479581
309,ICRB,0.5083,9.0,1,0,2,0.9,3,133.30815527035583,164.22918435421133
310,ICRB,0.877,9.0,1,0,2,0.9,3,124.57641025652431,155.10455761037304
311,ICRB,0.4803,9.0,1,0,2,0.9,3,143.97180020432316,178.26822911986488
312,ICRB,0.56,11.0,1,0,2,0.9,3,147.79225165058816,182.64972164477055
313,ICRB,0.4485,8.0,1,0,2,0.9,3,141.19700222961782,175.53832050325434
314,ICRB,0.5299,8.0,1,0,2,0.9,3,144.47480963234995,179.72690879844058
315,ICRB,0.427,7.0,1,0,2,0.9,3,135.38813005868963,164.09104758355343
